"Name";"RefDes";"Value";"Quantity"
"CAP400";"C1, C2, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C27, C28, C29, C30, C31, C32, C34, C35, C36, C50, C51, C55, C56, C57, C58, C59, C60, C61, C62, C65, C66, C67, C68, C69, C72, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C95, C102, C104";"0.1";"55"
"CAP200";"C3, C4, C5, C6, C7, C8, C9, C10, C33, C37, C38, C39, C40, C41, C42, C43, C44, C49, C63, C64, C89, C90, C91, C92, C93, C94, C96, C97, C98, C99, C100, C101";"0.1";"32"
"CAP350";"C22";"0.1";"1"
"CAP200";"C23, C24, C25, C26";"0.022u";"4"
"CAP200";"C45, C46, C47, C48, C105";"220";"5"
" œ - œ";"C52";"5..10";"1"
"CAP200";"C53";"47";"1"
"CAP400";"C54";"100";"1"
"CAP200RP";"C70, C71, C73, C74, C103";"10u";"5"
"1N914";"D1";"";"1"
"DIODE";"D2, D3";"1N5712";"2"
"LED";"D4";"";"1"
"LED";"D5";"560";"1"
"W65C02S6TPG-14";"IC1";"";"1"
"~VPB";"J1";"";"1"
"ROM_HI";"J2";"";"1"
"Solder_JMP_4V_Bridged";"J3";"";"1"
"JTAG_MMU";"J4";"";"1"
"~BE";"J5";"";"1"
"MJ-3502N";"J6";"";"1"
"PPTC031LFBN-RC";"J7";"UART";"1"
"PPTC021LFBN-RC";"J8";"SPKR";"1"
"PPTC041LFBN-RC";"J9";"PS2_KBD";"1"
"MJ-3502N";"J10";"OUT";"1"
"JMP2";"J11";"2764";"1"
"AppleConnector50";"J12";"SLOT1";"1"
"RCJ-014";"J13";"";"1"
"AppleConnector50";"J14";"SLOT2";"1"
"AppleConnector50";"J15";"SLOT3";"1"
"AppleConnector50";"J16";"SLOT4";"1"
"AppleConnector50";"J17";"SLOT5";"1"
"AppleConnector50";"J18";"SLOT6";"1"
"AppleConnector50";"J19";"SLOT7";"1"
"Solder_JMP_3";"J20, J26";"";"2"
"AppleConnector60";"J21";"";"1"
"DB9F";"J23";"";"1"
"90131-0128";"J24";"";"1"
"JMP2";"J25";"";"1"
"HDR-1x4";"J31";"";"1"
"39-28-1063";"J22POWER";"";"1"
"INDI";"L1";"27";"1"
"INDI";"L2, L3, L4, L5, L6";"";"5"
"MPSA13";"Q1";"";"1"
"2N3906BU";"Q2";"";"1"
"2N3904BU";"Q3";"";"1"
"RES10SIPB";"R1, R42";"3.3k";"2"
"RES8SIPB";"R2";"1k";"1"
"RES500";"R3, R4, R40, R41";"47";"4"
"RES500";"R5, R14, R15, R19, R20, R25, R32, R36";"1k";"8"
"RES500";"R6";"2.2k";"1"
"RES500";"R7, R8, R21";"12k";"3"
"RES500";"R9";"270k";"1"
"RES500";"R10, R11, R12, R13, R22, R37";"100";"6"
"RES500";"R16";"47k";"1"
"4310R-1";"R17";"";"1"
"RES500";"R18, R39";"75";"2"
"RES500";"R23, R24";"470";"2"
"RES500";"R26, R27, R28, R29";"120";"4"
"RES500";"R30";"2.7k";"1"
"RES500";"R31, R33";"6.8k";"2"
"RES500";"R34";"5.6k";"1"
"RES500";"R35";"330";"1"
"RES500";"R38, R43";"200";"2"
"RES500";"R44";"560";"1"
"SN74S02N";"U1";"";"1"
"EPM7128SLC84-10";"U2, U25";"";"2"
"SN74LS244N";"U3, U4";"";"2"
"DM74LS125AN";"U5";"";"1"
"4164";"U6, U7, U8, U9, U10, U11, U12, U13, U31, U32, U33, U34, U35, U36, U37, U38";"";"16"
"M27C256B10B1";"U14";"";"1"
"MCP602";"U15";"";"1"
"DM74LS251N";"U16";"";"1"
"NE558";"U17";"";"1"
"SN74LS138N";"U18";"";"1"
"SN74LS10N";"U19";"";"1"
"DM74LS154N";"U20";"";"1"
"ATMEGA328P-PU";"U21";"";"1"
"SN74LS245N";"U22, U40";"";"2"
"SN74LS374N";"U23, U39";"";"2"
"M2764AF1";"U24";"";"1"
"SN74LS166N";"U26";"";"1"
"GAL16V8A-15LP";"U27";"";"1"
"SN74LS04N";"U28";"";"1"
"DM74S109N";"U29";"";"1"
"MINI-DIN6PTH";"U30";"";"1"
"HC49S";"Y1";"14.3";"1"
"XO-14";"Y2";"";"1"
"XO-8";"Y3";"";"1"
"";"";"";"234"
